country,Rate,Count
Burundi,6.02,"635
"
Comoros,7.7,"60
"
Djibouti,6.48,"60
"
Eritrea,8.04,"390
"
Ethiopia,7.56,"7,552
"
Kenya,4.93,"2,533
"
Madagascar,7.69,"1,863
"
Malawi,1.73,"279
"
Mauritius,2.92,"37
"
Mayotte,5.93,"12
"
Mozambique,3.4,"849
"
Réunion,1.82,"15
"
Rwanda,2.52,"293
"
Seychelles,12.74,"12
"
Somalia,4.31,"599
"
South Sudan,13.9,"1,504
"
Uganda,10.42,"4,497
"
Tanzania,6.95,"3,746
"
Zambia,5.3,"853
"
Zimbabwe,6.67,"981
"
Angola,4.85,"1,217
"
Cameroon,1.4,"341
"
Central African Republic,19.76,"913
"
Chad,9.04,"1,266
"
Congo,9.32,"466
"
DR Congo,13.55,"10,322
"
Equatorial Guinea,2.31,"27
"
Gabon,8.04,"155
"
São Tomé and Príncipe,3.36,"6
"
Algeria,1.36,"542
"
Egypt,2.51,"2,207
"
Libya,2.5,"156
"
Morocco,1.42,"510
"
Sudan,5.16,"1,702
"
Tunisia,3.05,"332
"
Botswana,15.04,"303
"
Eswatini,9.5,"130
"
Lesotho,41.25,"897
"
Namibia,17.14,"388
"
South Africa,36.4,"21,036
"
Benin,1.1,"126
"
Burkina Faso,1.3,"240
"
Cape Verde,6.8,"37
"
Côte d'Ivoire,11.63,"2,688
"
Gambia,9.13,"181
"
Ghana,2.1,"609
"
Guinea,8.82,"1,067
"
Guinea-Bissau,1.1,"21
"
Liberia,3.23,"135
"
Mali,10.9,"1,905
"
Mauritania,9.94,"416
"
Niger,4.44,"788
"
Nigeria,9.85,"17,843
"
Saint Helena,0.0,"0
"
Senegal,7.38,"1,105
"
Sierra Leone,1.71,"124
"
Togo,9.0,"668
"
Anguilla,27.66,"4
"
Antigua and Barbuda,10.33,"10
"
Aruba,1.93,"2
"
Bahamas,30.9,"122
"
Barbados,9.7,"28
"
British Virgin Islands,8.37,"2
"
Cayman Islands,8.45,"5
"
Cuba,4.99,"572
"
Curaçao,19.19,"26
"
Dominica,25.7,"19
"
Dominican Republic,10.05,"1,068
"
Grenada,11.1,"12
"
Guadeloupe,8.01,"36
"
Haiti,6.68,"773
"
Jamaica,43.85,"1287
"
Martinique,2.78,"11
"
Montserrat,19.88,"1
"
