country,Subregion,rate,count,region,happiness_rank,happiness_score,lower_confidence_Interval,upper_confidence_interval,family,life_expectancy,freedom,trust,generosity,dystopia_residual,gdp_per_capita,gdp_for_year,population,suicides_no,suicides_rate_per_100k,region_id
Mauritius,Eastern Africa,2.92,37,Sub-Saharan Africa,66,5.648,5.5070000000000014,5.789,0.75695,0.66189,0.46145,0.05202999999999999,0.36951,2.20223,10570.0,12232463656.0,992432,98,9.874731971560774,2
Mongolia,Eastern Asia,6.18,196,Eastern Asia,101,4.907,4.838,4.976,1.0898299999999999,0.55469,0.35972,0.03285,0.34539000000000003,1.53586,4145.0,11183458131.0,2167589,423,19.514769635756593,4
Thailand,South-Eastern Asia,3.24,2229,Southeastern Asia,33,6.474,6.396,6.5520000000000005,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,6713.0,411755164833.0,53442001,4117,7.703678610387362,0
Armenia,Western Asia,1.69,50,Central and Eastern Europe,121,4.36,4.266,4.454,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793,1.9786400000000002,3788.0,10546135160.0,2400033,67,2.7916282817777924,1
Cyprus,Western Asia,1.26,15,Western Europe,69,5.546,5.442,5.65,0.70697,0.8488,0.29507,0.05227999999999999,0.27906,2.04497,25098.0,20153871681.0,711344,36,5.060842574056996,3
Qatar,Western Asia,0.38,9,Middle East and Northern Africa,36,6.375,6.178,6.572,0.87964,0.71723,0.56679,0.48049,0.32388,1.5822399999999999,62484.0,152451923077.0,2213121,68,3.07258392107797,5
Czech Republic,Eastern Europe,0.6,66,Central and Eastern Europe,27,6.596,6.515,6.6770000000000005,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,19505.0,195305084919.0,8929942,1318,14.759334383134851,1
Hungary,Eastern Europe,2.5,242,Central and Eastern Europe,91,5.145,5.056,5.234,0.9316399999999999,0.67608,0.1977,0.044719999999999996,0.099,1.9547299999999999,13448.0,125816640421.0,8390370,1761,20.98834735536097,1
Romania,Eastern Europe,1.28,250,Central and Eastern Europe,71,5.528,5.4270000000000005,5.629,0.7280300000000001,0.67602,0.36712,0.006790000000000001,0.12889,2.4518400000000002,10020.0,187805922349.0,16644905,1953,11.733320196180152,1
Iceland,Northern Europe,0.89,3,Western Europe,3,7.501,7.3329999999999975,7.669,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2.83137,64708.0,20304098101.0,268773,40,14.88244726962902,3
Lithuania,Northern Europe,4.57,128,Central and Eastern Europe,60,5.813,5.734,5.892,1.0641100000000001,0.64674,0.18929,0.0182,0.02025,2.60525,15742.0,42773029835.0,2445296,822,33.61556228775576,1
Sweden,Northern Europe,1.08,108,Western Europe,10,7.291,7.227,7.355,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,55594.0,514459972806.0,8125852,1130,13.906234078592618,3
Croatia,Southern Europe,0.58,24,Central and Eastern Europe,74,5.4879999999999995,5.402,5.574,0.6080899999999999,0.70524,0.23906999999999998,0.04002,0.18434,2.52462,12905.0,51338524831.0,3567043,683,19.14751237930129,1
Austria,Western Europe,0.97,86,Western Europe,12,7.119,7.045,7.193,1.0838299999999998,0.80565,0.54355,0.2134800000000001,0.32865,2.6934299999999998,46976.0,390799991147.0,7484629,1201,16.046219525376607,3
Netherlands,Western Europe,0.59,100,Western Europe,7,7.338999999999999,7.284,7.394,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,48108.0,777227541581.0,14239554,1886,13.244796852485688,3
